,name,date,platform,score,url,userscore,fullurl,developer,genre,no_userreviews
0,Grand Theft Auto V,2015-04-13,PC,96,/game/pc/grand-theft-auto-v,78.0,https://www.metacritic.com/game/pc/grand-theft-auto-v,Rockstar North,"['Modern', 'Action Adventure', 'Open-World']",6562.0
1,Metal Gear Solid V: The Phantom Pain,2015-09-01,Xbox One,95,/game/xbox-one/metal-gear-solid-v-the-phantom-pain,74.0,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain,"Kojima Productions, Moby Dick Studio","['Modern', 'Modern', 'Action Adventure', 'Open-World']",1166.0
3,Metal Gear Solid V: The Phantom Pain,2015-09-01,PlayStation 4,93,/game/playstation-4/metal-gear-solid-v-the-phantom-pain,82.0,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain,"Kojima Productions, Moby Dick Studio","['Modern', 'Action Adventure', 'Modern', 'Open-World']",5539.0
4,Journey,2015-07-21,PlayStation 4,92,/game/playstation-4/journey,83.0,https://www.metacritic.com/game/playstation-4/journey,Tricky Pixels,"['Action', 'Platformer', '3D']",2198.0
7,Undertale,2015-09-15,PC,92,/game/pc/undertale,84.0,https://www.metacritic.com/game/pc/undertale,tobyfox,"['Role-Playing', 'General', 'Japanese-Style']",4399.0
8,The Witcher 3: Wild Hunt,2015-05-19,Xbox One,91,/game/xbox-one/the-witcher-3-wild-hunt,92.0,https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt,CD Projekt Red Studio,"['Action RPG', 'Role-Playing', 'Action RPG']",4777.0
9,Metal Gear Solid V: The Phantom Pain,2015-09-01,PC,91,/game/pc/metal-gear-solid-v-the-phantom-pain,78.0,https://www.metacritic.com/game/pc/metal-gear-solid-v-the-phantom-pain,Kojima Productions,"['Action Adventure', 'Modern', 'Open-World']",2507.0
10,Shovel Knight,2015-04-21,PlayStation 4,90,/game/playstation-4/shovel-knight,77.0,https://www.metacritic.com/game/playstation-4/shovel-knight,Yacht Club Games,"['Action', 'Platformer', '2D']",419.0
11,Mario Kart 8 DLC Pack 2,2015-04-23,Wii U,90,/game/wii-u/mario-kart-8-dlc-pack-2,89.0,https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-2,Nintendo,"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']",303.0
12,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015-10-20,PlayStation 4,90,/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,79.0,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,Telltale Games,"['Adventure', 'General']",181.0
13,The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-12,PlayStation 4,90,/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone,90.0,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone,CD Projekt Red Studio,"['Role-Playing', 'Action RPG']",1684.0
14,The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-13,PC,89,/game/pc/the-witcher-3-wild-hunt---hearts-of-stone,91.0,https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---hearts-of-stone,CD Projekt Red Studio,"['Role-Playing', 'Action RPG']",2600.0
15,The Legend of Zelda: Majora's Mask 3D,2015-02-13,3DS,89,/game/3ds/the-legend-of-zelda-majoras-mask-3d,89.0,https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d,GREZZO,"['Fantasy', 'Action Adventure', 'Open-World']",701.0
16,Pillars of Eternity,2015-03-26,PC,89,/game/pc/pillars-of-eternity,83.0,https://www.metacritic.com/game/pc/pillars-of-eternity,Obsidian Entertainment,"['PC-style RPG', 'Third-Person', 'PC-style RPG', 'Role-Playing', 'Western-Style']",2513.0
17,3D Gunstar Heroes,2015-08-20,3DS,89,/game/3ds/3d-gunstar-heroes,79.0,https://www.metacritic.com/game/3ds/3d-gunstar-heroes,M2,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",41.0
18,Dark Souls II: Scholar of the First Sin,2015-04-07,Xbox One,89,/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin,78.0,https://www.metacritic.com/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin,From Software,"['Role-Playing', 'Action RPG']",235.0
19,3D Streets of Rage II,2015-07-23,3DS,89,/game/3ds/3d-streets-of-rage-ii,76.0,https://www.metacritic.com/game/3ds/3d-streets-of-rage-ii,M2,"['Action', ""Beat-'Em-Up"", '2D']",50.0
20,Bastion,2015-04-07,PlayStation 4,89,/game/playstation-4/bastion,77.0,https://www.metacritic.com/game/playstation-4/bastion,Supergiant Games,"['Role-Playing', 'Action RPG']",319.0
21,Nuclear Throne,2015-12-05,PC,89,/game/pc/nuclear-throne,77.0,https://www.metacritic.com/game/pc/nuclear-throne,Vlambeer,"['General', 'Action', 'General', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",210.0
22,Destiny: The Taken King,2015-09-15,Xbox One,89,/game/xbox-one/destiny-the-taken-king,53.0,https://www.metacritic.com/game/xbox-one/destiny-the-taken-king,"Bungie Software, Bungie","['Action', 'Shooter', 'First-Person', 'Arcade']",419.0
23,Fallout 4,2015-11-10,Xbox One,88,/game/xbox-one/fallout-4,65.0,https://www.metacritic.com/game/xbox-one/fallout-4,Bethesda Game Studios,"['General', 'Role-Playing', 'Western-Style']",2032.0
24,Super Mario Maker,2015-09-11,Wii U,88,/game/wii-u/super-mario-maker,87.0,https://www.metacritic.com/game/wii-u/super-mario-maker,Nintendo,"['Action', 'Platformer', '2D']",835.0
25,Divinity: Original Sin Enhanced Edition,2015-10-27,Xbox One,88,/game/xbox-one/divinity-original-sin-enhanced-edition,76.0,https://www.metacritic.com/game/xbox-one/divinity-original-sin-enhanced-edition,Larian Studios Games,"['Role-Playing', 'Action RPG', 'Western-Style']",137.0
26,Kerbal Space Program,2015-04-27,PC,88,/game/pc/kerbal-space-program,82.0,https://www.metacritic.com/game/pc/kerbal-space-program,"SQUADTeam, Squad","['Sci-Fi', 'Small Spaceship', 'Small Spaceship', 'Simulation', 'Space', 'Combat']",653.0
27,Divinity: Original Sin Enhanced Edition,2015-10-27,PlayStation 4,88,/game/playstation-4/divinity-original-sin-enhanced-edition,80.0,https://www.metacritic.com/game/playstation-4/divinity-original-sin-enhanced-edition,Larian Studios Games,"['Role-Playing', 'Action RPG', 'Western-Style']",555.0
28,Ori and the Blind Forest,2015-03-11,Xbox One,88,/game/xbox-one/ori-and-the-blind-forest,86.0,https://www.metacritic.com/game/xbox-one/ori-and-the-blind-forest,Moon Studios,"['Action', 'Platformer', '2D']",978.0
29,Starcraft II: Legacy of the Void,2015-11-10,PC,88,/game/pc/starcraft-ii-legacy-of-the-void,84.0,https://www.metacritic.com/game/pc/starcraft-ii-legacy-of-the-void,Blizzard Entertainment,"['Sci-Fi', 'Sci-Fi', 'Strategy', 'Real-Time', 'General', 'Command']",1051.0
30,The Talos Principle: Deluxe Edition,2015-10-13,PlayStation 4,88,/game/playstation-4/the-talos-principle-deluxe-edition,81.0,https://www.metacritic.com/game/playstation-4/the-talos-principle-deluxe-edition,Croteam,"['Adventure', '3D', 'First-Person', 'Sci-Fi']",216.0
31,Ori and the Blind Forest,2015-03-11,PC,88,/game/pc/ori-and-the-blind-forest,87.0,https://www.metacritic.com/game/pc/ori-and-the-blind-forest,Moon Studios,"['Action', 'Platformer', '2D']",1315.0
32,Bloodborne: The Old Hunters,2015-11-24,PlayStation 4,87,/game/playstation-4/bloodborne-the-old-hunters,91.0,https://www.metacritic.com/game/playstation-4/bloodborne-the-old-hunters,From Software,"['Role-Playing', 'Action RPG']",1773.0
33,Oddworld: Abe's Oddysee - New 'n' Tasty,2015-02-25,PC,87,/game/pc/oddworld-abes-oddysee---new-n-tasty,77.0,https://www.metacritic.com/game/pc/oddworld-abes-oddysee---new-n-tasty,Just Add Water,"['Action', 'Platformer', 'Platformer', '2D', '2D']",169.0
34,Crypt of the NecroDancer,2015-04-23,PC,87,/game/pc/crypt-of-the-necrodancer,78.0,https://www.metacritic.com/game/pc/crypt-of-the-necrodancer,Brace Yourself Games,"['Action', 'Role-Playing', 'General', 'Action RPG']",200.0
35,Batman: Arkham Knight,2015-06-23,PlayStation 4,87,/game/playstation-4/batman-arkham-knight,79.0,https://www.metacritic.com/game/playstation-4/batman-arkham-knight,Rocksteady Studios,"['General', 'Fantasy', 'Action Adventure', 'Open-World']",3941.0
36,Forza Motorsport 6,2015-09-15,Xbox One,87,/game/xbox-one/forza-motorsport-6,77.0,https://www.metacritic.com/game/xbox-one/forza-motorsport-6,Turn 10,"['Driving', 'GT / Street', 'Racing', 'Simulation', 'Automobile']",882.0
37,Skylanders SuperChargers,2015-09-20,Wii U,87,/game/wii-u/skylanders-superchargers,57.0,https://www.metacritic.com/game/wii-u/skylanders-superchargers,Vicarious Visions,"['Action', 'Platformer', '3D']",72.0
38,3D Sonic the Hedgehog 2,2015-10-08,3DS,87,/game/3ds/3d-sonic-the-hedgehog-2,84.0,https://www.metacritic.com/game/3ds/3d-sonic-the-hedgehog-2,M2,"['Action', 'Platformer', '2D']",92.0
39,Pro Evolution Soccer 2016,2015-09-15,PlayStation 4,87,/game/playstation-4/pro-evolution-soccer-2016,72.0,https://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2016,Konami,"['Sports', 'Team', 'Soccer', 'Sim']",709.0
40,3D Out Run,2015-03-12,3DS,87,/game/3ds/3d-out-run,81.0,https://www.metacritic.com/game/3ds/3d-out-run,M2,"['Driving', 'Racing', 'Arcade', 'Automobile']",36.0
41,Dark Souls II: Scholar of the First Sin,2015-04-07,PlayStation 4,87,/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin,79.0,https://www.metacritic.com/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin,From Software,"['Role-Playing', 'Action RPG']",1033.0
42,NBA 2K16,2015-09-25,PlayStation 4,87,/game/playstation-4/nba-2k16,67.0,https://www.metacritic.com/game/playstation-4/nba-2k16,Visual Concepts,"['Action', 'General', 'Sports', 'Team', 'Basketball', 'Sim']",435.0
43,Fallout 4,2015-11-10,PlayStation 4,87,/game/playstation-4/fallout-4,67.0,https://www.metacritic.com/game/playstation-4/fallout-4,Bethesda Game Studios,"['General', 'Role-Playing', 'Western-Style']",5414.0
44,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015-10-20,PC,86,/game/pc/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,87.0,https://www.metacritic.com/game/pc/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,Telltale Games,"['Adventure', 'General']",302.0
