,Unnamed: 0,name,date,platform,score,url,userscore,fullurl,developer,genre,no_userreviews
0,0,Grand Theft Auto V,"April 13, 2015",PC,96,/game/pc/grand-theft-auto-v,7.8,https://www.metacritic.com/game/pc/grand-theft-auto-v,Rockstar North,"['Modern', 'Action Adventure', 'Open-World']",6562
1,1,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",Xbox One,95,/game/xbox-one/metal-gear-solid-v-the-phantom-pain,7.4,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain,"Kojima Productions, Moby Dick Studio","['Modern', 'Modern', 'Action Adventure', 'Open-World']",1166
2,2,The Witcher 3: Wild Hunt,"May 18, 2015",PC,93,/game/pc/the-witcher-3-wild-hunt,9.4,https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt,CD Projekt Red Studio,"['Action RPG', 'Role-Playing', 'Action RPG']",17318
3,3,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",PlayStation 4,93,/game/playstation-4/metal-gear-solid-v-the-phantom-pain,8.2,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain,"Kojima Productions, Moby Dick Studio","['Modern', 'Action Adventure', 'Modern', 'Open-World']",5539
4,4,Journey,"July 21, 2015",PlayStation 4,92,/game/playstation-4/journey,8.3,https://www.metacritic.com/game/playstation-4/journey,Tricky Pixels,"['Action', 'Platformer', '3D']",2198
5,5,Bloodborne,"March 24, 2015",PlayStation 4,92,/game/playstation-4/bloodborne,8.9,https://www.metacritic.com/game/playstation-4/bloodborne,From Software,"['Fantasy', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG']",10311
6,6,The Witcher 3: Wild Hunt,"May 19, 2015",PlayStation 4,92,/game/playstation-4/the-witcher-3-wild-hunt,9.2,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt,CD Projekt Red Studio,"['Action RPG', 'Role-Playing', 'Action RPG']",15569
7,7,Undertale,"September 15, 2015",PC,92,/game/pc/undertale,8.4,https://www.metacritic.com/game/pc/undertale,tobyfox,"['Role-Playing', 'General', 'Japanese-Style']",4399
8,8,The Witcher 3: Wild Hunt,"May 19, 2015",Xbox One,91,/game/xbox-one/the-witcher-3-wild-hunt,9.2,https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt,CD Projekt Red Studio,"['Action RPG', 'Role-Playing', 'Action RPG']",4777
9,9,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",PC,91,/game/pc/metal-gear-solid-v-the-phantom-pain,7.8,https://www.metacritic.com/game/pc/metal-gear-solid-v-the-phantom-pain,Kojima Productions,"['Action Adventure', 'Modern', 'Open-World']",2507
10,10,Shovel Knight,"April 21, 2015",PlayStation 4,90,/game/playstation-4/shovel-knight,7.7,https://www.metacritic.com/game/playstation-4/shovel-knight,Yacht Club Games,"['Action', 'Platformer', '2D']",419
11,11,Mario Kart 8 DLC Pack 2,"April 23, 2015",Wii U,90,/game/wii-u/mario-kart-8-dlc-pack-2,8.9,https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-2,Nintendo,"['Driving', 'Kart', 'Racing', 'Arcade', 'Automobile']",303
12,12,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,"October 20, 2015",PlayStation 4,90,/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,7.9,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,Telltale Games,"['Adventure', 'General']",181
